Pregunta,Respuesta 1,Respuesta 2,Respuesta 3,Respuesta 4,Categoria,Nivel
¿Cual es el primer juego de la saga Donkey Kong en ser completamente en tres dimensiones?,Donkey Kong 3D,Donkey Kong 64,Donkey Kong Country,Didi Kong Racing,Videojuegos,1
Nombre del compositor musical del juego Ninja Gaiden / Ryukenden,Keiji Yamagishi,Ayane Kojima,Jaime Altozano,Rob Dougan,Videojuegos,5
¿Como se llama el protagonista de la saga The Legend Of Zelda,Link,Zelda,Ganon,Zenki,Videojuegos,2
Primer juego en el que trabajó Hideo Kojima,Penguins Adventure,Lolo's Adventures,Rainbow Six,Splinter Cell,Videojuegos,3
Juego de aviones ambientado en la segunda guerra mundial de CAPCOM,1942,Wolfenstein,Captain Comando,Ace Combat,Videojuegos,4
¿En que año nació Jesucirsto?,0,3 DC,3 AC,2000 AC,Lógica,5
"Si un tren eléctrico viaja de norte a sur, ¿En que dirección viaja el humo?",A ninguna parte,Norte,Sur,Arriba,Lógica,2
¿Cual es la velocidad de la luz?,299.792.458 km,300.000.000km,300kms,955.440km,Lógica,4
"El bulgaro, el checo y el ruso son lenguas...",Eslavas,Germánicas,Retorrománas,Latinas,Lógica,3
¿Cuál es el significado de la expresión latina 'in fraganti'?,En el mismo momento,Después de,Tiempo atrás,En el futuro,Lógica,1
¿De qué color es el caballo blanco de Bolívar?,Blanco,Verde,Amarillo,Azul,Lógica,1
¿Cuanto duro la guerra de los 100 años?,106,100,10,50,Lógica,3
"Libro escrito por George Orwell, que retrata un futuro distópico comunista",1984,La lista de Schindler,Volver al futuro,Babylon,Literatura,3
Autor del libro – El arte de ser feliz,Arthur Shopenhawer,Depak Chopra,Robert Kiyosaki,Jurguen Klarik,Literatura,4
¿Como se llama la ciudad donde se encuentra el mago de Oz?,Ciudad Esmeralda,Pueblo Paleta,Aldea oculta de la hoja,Arcadia,Literatura,2
¿Quien escribio la iliada?,Homero,Platon,Aristoteles,Santo tomas de aquino,Literatura,5
Quien escribió Romeo y Julieta,William Shakespeare,Romeo Santos,Edgar Allan Poe,Ada Lovelace,Literatura,1
¿Quien fue el primer presidente de los estados unidos?,George Washington,Barack Obama,Donald Trump,J F Kenedy,Historia,3
¿Que emperador intentó someterse a una operación de cambio de sexo?,Eliogábalo,Marco Tulio,Julio Cesar,Augusto el grande,Historia,5
Quien dijo la frase – El estado soy yo,Luis XIV,Pio XII,Maria Antonieta,Alejandro Magno,Historia,4
¿Cuando fue que Cristóbal Colón descubrió América?,1492,1942,1810,1700,Historia,2
¿En que año comenzó la gran depresión?,1930,1942,2008,2000,Historia,2
Nombre del compositor de la banda sonora de la película Matrix,Rob Dougan,Dj Tiesto,Robert Miles,Armin Van Buren,Cine,5
¿Quien interpreta a Neo en Matrix?,Keanu Reves,Jhon Travolta,Robert Redford,Orson Welles,Cine,1
Obra culmen de Katsujiro Otomo,Akira,Patlabor,Lucy,Petite Cossete,Cine,3
Genero que describe un mundo distópico de alta tecnología y baja calidad de vida,Cyberpunk,Steampunk,Comedia,Ciencia Ficción,Cine,4
¿A quien interpretaba Jhon Travolta en la pelicula - Grease,Danny Zuko,Charles Chaplin,Erik Carbuncle,Von Danniken,Cine,2
